Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,443.149994,446.000000,441.825012,443.950012,415.367096,1354878
2015-01-02,444.049988,448.024994,442.149994,442.774994,414.267700,3351654
2015-01-05,442.500000,445.450012,437.049988,437.924988,409.729980,4619182
2015-01-06,435.000000,436.500000,416.000000,418.049988,391.134613,8516086
2015-01-07,418.549988,429.399994,418.500000,427.149994,399.648712,9472630
2015-01-08,430.049988,431.450012,420.075012,421.024994,393.918060,9084914
2015-01-09,424.200012,431.000000,422.500000,430.149994,402.455536,6122732
2015-01-12,430.250000,430.500000,420.799988,425.149994,397.777496,4617432
2015-01-13,426.500000,427.475006,420.250000,421.575012,394.432678,4548216
2015-01-14,421.500000,423.500000,415.600006,417.475006,390.596649,5202572
2015-01-15,420.000000,435.549988,420.000000,432.125000,404.303436,7738494
2015-01-16,430.000000,437.500000,426.024994,434.850006,406.852997,8748776
2015-01-19,435.100006,443.000000,429.375000,439.825012,411.507660,6098582
2015-01-20,440.750000,452.774994,439.424988,451.524994,422.454376,6108346
2015-01-21,452.500000,455.700012,446.024994,453.375000,424.185272,7810366
2015-01-22,452.575012,453.600006,439.750000,441.875000,413.425690,10844730
2015-01-23,445.000000,448.899994,438.500000,443.450012,414.899292,8265794
2015-01-27,446.450012,448.350006,440.250000,444.524994,415.905060,8201508
2015-01-28,443.049988,454.899994,443.049988,453.424988,424.232056,8822454
2015-01-29,453.549988,467.250000,453.450012,464.700012,434.781158,16511776
2015-01-30,465.000000,465.625000,454.500000,457.625000,428.161652,9941906
2015-02-02,458.024994,459.950012,452.850006,454.024994,424.793427,8824550
2015-02-03,456.600006,470.424988,456.600006,468.799988,438.617126,7814040
2015-02-04,469.549988,471.899994,462.950012,464.399994,434.500427,6433654
2015-02-05,468.000000,469.950012,458.799988,461.850006,432.114655,5653156
2015-02-06,462.049988,465.000000,451.500000,454.950012,425.658875,4135456
2015-02-09,450.600006,459.000000,446.000000,448.350006,419.483795,4041210
2015-02-10,449.000000,452.250000,430.649994,441.000000,412.607025,6240782
2015-02-11,443.000000,452.375000,441.500000,450.350006,421.355072,4471548
2015-02-12,454.000000,456.975006,443.625000,454.575012,425.308044,3981748
2015-02-13,457.000000,460.399994,454.524994,458.750000,429.214264,3380142
2015-02-16,459.350006,462.100006,450.000000,451.399994,422.337402,5607922
2015-02-18,450.000000,454.000000,447.200012,450.825012,421.799469,4496248
2015-02-19,453.475006,453.799988,443.774994,451.024994,421.986572,4366230
2015-02-20,447.625000,448.000000,435.649994,436.549988,408.443573,8556874
2015-02-23,434.975006,438.375000,423.549988,425.725006,398.315460,6448086
2015-02-24,427.125000,428.399994,418.500000,420.725006,393.637390,9118740
2015-02-25,424.399994,428.250000,420.524994,421.575012,394.432678,6982812
2015-02-26,423.049988,425.000000,418.299988,421.000000,393.894684,9810676
2015-02-27,423.774994,430.500000,422.299988,427.774994,400.233490,8530440
2015-02-28,null,null,null,null,null,null
2015-03-02,434.500000,437.750000,427.774994,432.125000,404.303436,6665262
2015-03-03,434.500000,453.225006,433.700012,450.399994,421.401825,9434508
2015-03-04,453.000000,454.825012,440.024994,443.924988,415.343658,6617962
2015-03-05,446.250000,449.375000,439.075012,442.475006,413.987061,4899316
2015-03-09,442.549988,445.875000,432.075012,434.825012,406.829590,6430224
2015-03-10,434.475006,437.899994,427.700012,429.575012,401.917603,6964500
2015-03-11,430.475006,434.799988,426.200012,427.975006,400.420624,5319530
2015-03-12,429.000000,433.700012,427.799988,431.899994,404.092896,5386508
2015-03-13,434.500000,434.799988,423.500000,425.049988,397.683899,5913976
2015-03-16,425.750000,426.975006,420.149994,421.049988,393.941437,6327178
2015-03-17,425.274994,429.950012,420.500000,428.424988,400.841614,8718200
2015-03-18,428.500000,436.125000,427.350006,434.325012,406.361755,4237880
2015-03-19,437.774994,438.350006,427.049988,428.075012,400.514191,6370436
2015-03-20,428.950012,430.575012,424.299988,427.049988,399.555176,4757144
2015-03-23,428.250000,432.000000,419.049988,420.975006,393.871307,6058224
2015-03-24,421.049988,427.149994,421.049988,423.975006,396.678162,4223500
2015-03-25,424.500000,424.750000,420.500000,422.450012,395.251373,4692786
2015-03-26,420.549988,424.625000,412.049988,414.649994,387.953491,9427386
2015-03-27,416.950012,417.500000,400.725006,405.850006,379.720123,10664284
2015-03-30,408.299988,408.850006,398.225006,405.375000,379.275635,7922962
2015-03-31,409.000000,416.450012,409.000000,413.000000,386.409729,9250942
2015-04-01,412.450012,419.500000,406.549988,418.024994,391.111206,6669386
2015-04-06,418.000000,419.000000,410.700012,412.325012,385.778229,5638734
2015-04-07,413.024994,418.049988,413.024994,416.424988,389.614197,9726422
2015-04-08,416.750000,434.750000,416.450012,432.950012,405.075348,11347420
2015-04-09,432.750000,449.500000,429.399994,447.549988,418.735291,12469862
2015-04-10,447.475006,454.399994,444.549988,452.174988,423.062531,11576924
2015-04-13,453.399994,462.375000,449.375000,461.250000,431.553253,9224402
2015-04-15,460.500000,469.799988,453.600006,461.825012,432.091248,10163386
2015-04-16,462.250000,469.000000,459.500000,464.174988,434.289917,9224384
2015-04-17,467.524994,472.149994,461.299988,463.424988,433.588196,10953102
2015-04-20,468.649994,468.725006,439.250000,442.825012,414.314545,17202330
